50	0
55	0
60	0
65	-0.5
70	-1
75	-1.5
80	-2
85	-2.5
90	-3
95	-3.5
100	-4
105	-4.5
110	-5
115	-6
120	-7
125	-9
130	-11
135	-16
140	-19.5
145	-22.5
150	-25.5
155	-27.5
160	-28.5
165	-29
170	-29
175	-29
180	-29.5
185	-29.5
190	-29.5
195	-29.5
200	-29.5
205	-30
210	-31
215	-33.5
220	-35.5
225	-38
230	-40.5
235	-43.5
240	-46
245	-49
250	-52
255	-55
260	-57
265	-60.5
270	-62
275	-63
280	-64
285	-64.5
290	-64.5
295	-63.5
300	-63
305	-61.5
310	-59.8
315	-57
320	-54
325	-50.5
330	-46
335	-42
340	-37.5
345	-33
350	-28.5
355	-25
0	-17
5              -17
10	-13
15	-10
20	-6
25	-4.5
30	-3
35	-1.5
40	-0.5
45	0
